TIC_ID,TMAG,RA_1,DEC_1,n_visits,MAP_P,MAP_P_err,MAP_e,MAP_e_err,MAP_omega,MAP_omega_err,MAP_M0,MAP_M0_err,MAP_K,MAP_K_err,MAP_v0,MAP_v0_err,MAP_s,MAP_s_err,t0_bmjd,baseline,MAP_ln_likelihood,MAP_ln_prior,max_unmarginalized_ln_likelihood,max_phase_gap,periods_spanned,phase_coverage,phase_coverage_per_period,unimodal,joker_completed,mcmc_completed,mcmc_success,gelman_rubin_max,constant_ln_likelihood,robust_constant_ln_likelihood,constant_ln_evidence,kepler_ln_evidence,RA_2,DEC_2,Separation
198479798,11.56,262.2827,56.3872,5,310.71820068359375,0.011391102173928136,0.00549926795065403,0.01342291163397158,4.154988082247325,0.05927951296931247,1.0461323261260986,0.04951581027696142,20.41975905835336,9.229717430970783,-93.79629318097743,1.5403520002282916,0.06889138370752335,0.05814252694831935,57274.12114824036,299.0500346539775,-3.7947980599519875,3.548035573649443,6.129618906275855,0.946804094295191,0.962447754897968,0.2,5,false,true,false,false,,-62.72105534289346,-1.2397964036656544,-66.0311292912811,-16.690532476234083,262.282179,56.386307,3.3762657562267573
198488795,7.88,195.562,72.4855,27,54.72137891907804,0.025346586743660637,0.47273058661991063,0.02661806629753155,1.0165662904935477,0.11933943747165071,2.858490168567143,0.09058258008971676,12.64761915629977,0.5449212498150002,12.39310732422773,0.3381288913680627,1.31677760156268,0.2096685325778742,56435.19458368847,1419.1036751582724,-20.72799220058932,-10.299910107071266,-48.86657487465075,0.27058434186453795,25.933258685911383,0.8,9,true,false,true,true,1.0,-170415.14003985113,-117.47752123464646,-170419.38102477125,-52.604233675989974,195.564284,72.485336,2.54109936334872
219694227,8.72,134.5341,71.4093,3,6.90293550491333,0.011391102173928136,6.451673107221723E-4,0.01342291163397158,2.4945874214172363,0.05927951296931247,2.4954123497009277,0.04951581027696142,89.78040901859457,9.229717430970783,-54.523471683740965,1.5403520002282916,0.029221905395388603,0.05814252694831935,58146.28860336335,26.959820425014186,-9.014946475766166,3.779601162036858,2.5944892674586466,0.8721101465919999,3.9055587880667457,0.3,2,false,true,false,false,,-31506.8389334695,-13.614582933188752,-31509.94880675242,-15.754124794196489,134.534361,71.40947,0.6756978567648884
219759861,10.49,262.2441,60.7334,5,3.866037541604568,2.1508183534524328E-5,0.15392413130148383,0.042574048464174515,0.5927935587663954,1.1430001130452534,1.6570972690290202,1.985853124023083,55.50090050643596,2.708686300417611,-7.58687730606092,2.8518648661296235,0.055404660899213545,0.05901561328190828,57171.428065102686,1097.912870170825,29.892296747738516,0.6861587170170478,7.033775444814143,0.46909981887307595,283.98919005720114,0.4,2,true,false,true,true,1.0,-345478.4490263426,-28.17035538041478,-345481.7175977719,11.056484945954555,262.244196,60.733467,0.29911246342468106
219777235,10.17,263.6757,61.1221,4,9.21187686920166,0.011391102173928136,0.001955541083589196,0.01342291163397158,-0.8586740493774414,0.05927951296931247,-2.5695581436157227,0.04951581027696142,32.60332729570191,9.229717430970783,-22.472852726022047,1.5403520002282916,0.056618448346853256,0.05814252694831935,57171.428065102686,99.69583309208974,-8.823890612014512,3.793634653219313,1.5201364069567374,0.3875990082443064,10.82253209716749,0.4,3,false,false,false,false,,-129561.97417836983,-20.2118215335763,-129565.26019105087,-14.593609033645972,263.676009,61.121807,1.1863946474383358
229676244,7.05,253.1832,76.8527,3,304.6547546386719,0.011391102173928136,0.005239022895693779,0.01342291163397158,0.035916002588816553,0.05927951296931247,2.818225145339966,0.04951581027696142,29.097051021411524,9.229717430970783,26.65856758718747,1.5403520002282916,0.05522378161549568,0.05814252694831935,58264.31573519691,31.946580486022867,-9.961991254060433,3.6637973922385,-1.7469524095425446,0.10158952059455567,0.10486158512202297,0.2,3,false,true,false,false,,-358.14945006381913,-11.458147359105638,-359.6757692396545,-19.333019623953454,253.183028,76.852684,0.15120123583898612
229687624,8.98,262.9887,57.1784,3,386.25811767578125,0.011391102173928136,1.477097102906555E-4,0.01342291163397158,5.884419830637523,0.05927951296931247,-1.0233922004699707,0.04951581027696142,15.903082761960428,9.229717430970783,-13.66898842296285,1.5403520002282916,0.03659231588244438,0.05814252694831935,57168.39226505622,108.72906323070492,-13.683542722576,4.119787731440964,-8.014246303036707,0.27372598359960726,0.28149327678811936,0.2,3,false,true,false,false,,-18.091126073959785,-13.180195098320063,-17.214121739249435,-21.470444435644374,262.988561,57.178444,0.31753910708753935
232971368,7.27,199.4045,71.2469,22,5.73240118100549,0.004851428094018173,0.35296270112551104,0.1614130609938528,2.0124276663024174,0.5202653505679014,-0.5395622576766009,0.38707154662847665,4.835026225591679,0.9648569757309955,-5.00082770974303,0.46950101539689615,1.5282525708537735,0.2890716495108607,57445.34679092837,408.9514679183703,-17.304870533440965,-10.748989752317978,-43.74435337004371,0.09202562902179556,71.34034325324384,0.9,3,false,false,true,true,1.0,-17167.923094287682,-70.97105669109996,-17171.895263169536,-48.134017991584855,199.405912,71.246704,1.7835690322052755
233546128,8.06,281.5337,60.8171,5,5.456772327423096,0.011391102173928136,0.0018873149529099464,0.01342291163397158,0.5364882071786603,0.05927951296931247,1.0282313823699951,0.04951581027696142,3.546826747794911,9.229717430970783,-19.747257550344944,1.5403520002282916,0.10152231156826019,0.05814252694831935,58264.44670519872,26.88030040920421,-14.930997071759908,3.297030222265069,-5.266597349433206,0.3596320154111531,4.926043968166526,0.5,4,false,true,false,false,,-38.83583754200596,-12.389292969776921,-39.936681559182034,-21.377573299961934,281.533511,60.816887,0.8372280577439556
233679694,11.07,260.3911,60.2334,3,2531.434814453125,0.011391102173928136,6.27462868578732E-4,0.01342291163397158,3.9287821372323712,0.05927951296931247,2.240277051925659,0.04951581027696142,13.044649942665586,9.229717430970783,-50.018836280888365,1.5403520002282916,0.08386441320180893,0.05814252694831935,57578.32528297299,691.0156523005207,-9.261259116850749,3.6768700480859806,1.8649819656203555,0.2726165368140719,0.27297390727008414,0.2,3,false,true,false,false,,-5436.813318375781,-11.25366244004234,-5439.769103699946,-19.38552691434768,260.3913,60.232937,1.6991997178845766
